scenario,rate_per_second,repeat,ordinal,status_code,classification,elapsed_ms
progression,20,3,134,200,success,3.148
progression,20,3,135,200,success,3.526
progression,20,3,136,200,success,3.301
progression,20,3,137,200,success,3.770
progression,20,3,138,200,success,3.367
progression,20,3,139,200,success,3.686
progression,20,3,140,200,success,4.607
progression,20,3,141,200,success,4.120
progression,20,3,142,200,success,4.120
progression,20,3,143,200,success,3.723
progression,20,3,144,200,success,3.670
progression,20,3,145,200,success,4.058
progression,20,3,146,200,success,3.608
progression,20,3,147,200,success,3.034
progression,20,3,148,200,success,3.023
progression,20,3,149,200,success,3.008
progression,20,3,150,200,success,3.933
progression,20,3,151,200,success,4.505
progression,20,3,152,200,success,4.506
progression,20,3,153,200,success,4.503
progression,20,3,154,200,success,4.201
progression,20,3,155,200,success,4.151
progression,20,3,156,200,success,4.124
progression,20,3,157,200,success,3.886
progression,20,3,158,200,success,3.876
progression,20,3,159,200,success,3.867
progression,20,3,160,200,success,4.257
progression,20,3,161,200,success,3.217
progression,20,3,162,200,success,3.185
progression,20,3,163,200,success,3.168
progression,20,3,164,200,success,3.155
progression,20,3,165,200,success,4.030
progression,20,3,166,200,success,3.524
progression,20,3,167,200,success,3.817
progression,20,3,168,200,success,3.812
progression,20,3,169,200,success,3.839
progression,20,3,170,200,success,3.839
progression,20,3,171,200,success,3.721
progression,20,3,172,200,success,4.169
progression,20,3,173,200,success,3.920
progression,20,3,174,200,success,3.904
progression,20,3,175,200,success,4.036
progression,20,3,176,200,success,4.031
progression,20,3,177,200,success,3.739
progression,20,3,178,200,success,3.392
progression,20,3,179,200,success,3.396
progression,20,3,180,200,success,5.517
progression,20,3,181,200,success,4.819
progression,20,3,182,200,success,4.013
progression,20,3,183,200,success,3.375
progression,20,3,184,200,success,3.865
progression,20,3,185,200,success,3.295
progression,20,3,186,200,success,3.280
progression,20,3,187,200,success,4.619
progression,20,3,188,200,success,3.364
progression,20,3,189,200,success,4.374
progression,20,3,190,200,success,3.454
progression,20,3,191,200,success,3.345
progression,20,3,192,200,success,3.105
progression,20,3,193,200,success,4.328
progression,20,3,194,200,success,3.062
progression,20,3,195,200,success,4.088
progression,20,3,196,200,success,3.998
progression,20,3,197,200,success,3.720
progression,20,3,198,200,success,3.401
progression,20,3,199,200,success,3.552
combat,2,1,0,200,success,195.801
combat,2,1,1,200,success,16.599
combat,2,1,2,200,success,14.645
combat,2,1,3,200,success,16.522
combat,2,1,4,200,success,14.680
combat,2,1,5,200,success,15.448
combat,2,1,6,200,success,14.759
combat,2,1,7,200,success,15.422
combat,2,1,8,200,success,13.956
combat,2,1,9,200,success,15.074
combat,2,1,10,200,success,17.180
combat,2,1,11,200,success,15.529
combat,2,1,12,200,success,14.557
combat,2,1,13,200,success,16.565
combat,2,1,14,200,success,16.643
combat,2,1,15,200,success,13.647
combat,2,2,0,200,success,196.343
combat,2,2,1,200,success,20.996
combat,2,2,2,200,success,15.839
combat,2,2,3,200,success,15.943
combat,2,2,4,200,success,19.683
combat,2,2,5,200,success,14.809
combat,2,2,6,200,success,14.007
combat,2,2,7,200,success,17.627
combat,2,2,8,200,success,13.722
combat,2,2,9,200,success,14.224
combat,2,2,10,200,success,14.315
combat,2,2,11,200,success,14.921
combat,2,2,12,200,success,14.162
combat,2,2,13,200,success,14.258
combat,2,2,14,200,success,16.253
combat,2,2,15,200,success,15.674
combat,2,3,0,200,success,197.346
combat,2,3,1,200,success,15.608
combat,2,3,2,200,success,14.765
combat,2,3,3,200,success,18.640
combat,2,3,4,200,success,14.658
combat,2,3,5,200,success,16.639
combat,2,3,6,200,success,14.478
combat,2,3,7,200,success,14.153
combat,2,3,8,200,success,15.998
combat,2,3,9,200,success,14.780
combat,2,3,10,200,success,17.044
combat,2,3,11,200,success,14.981
combat,2,3,12,200,success,15.242
combat,2,3,13,200,success,15.165
combat,2,3,14,200,success,16.690
combat,2,3,15,200,success,15.657
combat,5,1,0,200,success,204.140
combat,5,1,1,200,success,184.428
combat,5,1,2,200,success,19.838
combat,5,1,3,200,success,20.093
combat,5,1,4,200,success,25.698
combat,5,1,5,200,success,18.291
combat,5,1,6,200,success,16.512
combat,5,1,7,200,success,17.527
combat,5,1,8,200,success,14.278
combat,5,1,9,200,success,13.152
combat,5,1,10,200,success,20.246
combat,5,1,11,200,success,14.435
combat,5,1,12,200,success,15.757
combat,5,1,13,200,success,17.556
combat,5,1,14,200,success,77.681
combat,5,1,15,200,success,15.095
combat,5,1,16,200,success,14.010
combat,5,1,17,200,success,14.425
combat,5,1,18,200,success,18.020
combat,5,1,19,200,success,13.814
combat,5,1,20,200,success,14.700
combat,5,1,21,200,success,15.843
combat,5,1,22,200,success,13.473
combat,5,1,23,200,success,15.090
combat,5,1,24,200,success,19.437
combat,5,1,25,200,success,16.686
combat,5,1,26,200,success,14.193
combat,5,1,27,200,success,13.508
combat,5,1,28,200,success,13.185
combat,5,1,29,200,success,18.053
combat,5,1,30,200,success,13.819
combat,5,1,31,200,success,14.900
combat,5,1,32,200,success,13.592
combat,5,1,33,200,success,14.958
combat,5,1,34,200,success,14.214
combat,5,1,35,200,success,38.338
combat,5,1,36,200,success,28.232
combat,5,1,37,200,success,16.262
combat,5,1,38,200,success,27.633
combat,5,1,39,200,success,14.174
combat,5,2,0,200,success,194.182
combat,5,2,1,200,success,174.553
combat,5,2,2,200,success,14.455
combat,5,2,3,200,success,15.190
combat,5,2,4,200,success,15.266
combat,5,2,5,200,success,14.017
combat,5,2,6,200,success,15.052
combat,5,2,7,200,success,14.983
combat,5,2,8,200,success,14.954
combat,5,2,9,200,success,14.223
combat,5,2,10,200,success,13.996
combat,5,2,11,200,success,14.709
combat,5,2,12,200,success,13.989
combat,5,2,13,200,success,16.860
combat,5,2,14,200,success,14.836
combat,5,2,15,200,success,15.254
combat,5,2,16,200,success,15.685
combat,5,2,17,200,success,15.033
combat,5,2,18,200,success,16.483
combat,5,2,19,200,success,13.713
combat,5,2,20,200,success,15.279
combat,5,2,21,200,success,16.123
combat,5,2,22,200,success,13.997
combat,5,2,23,200,success,19.164
combat,5,2,24,200,success,17.434
combat,5,2,25,200,success,21.102
combat,5,2,26,200,success,16.612
combat,5,2,27,200,success,14.731
combat,5,2,28,200,success,13.841
combat,5,2,29,200,success,13.948
combat,5,2,30,200,success,15.359
combat,5,2,31,200,success,15.418
combat,5,2,32,200,success,16.912
combat,5,2,33,200,success,15.637
combat,5,2,34,200,success,15.424
combat,5,2,35,200,success,16.592
combat,5,2,36,200,success,16.578
combat,5,2,37,200,success,29.815
combat,5,2,38,200,success,26.192
combat,5,2,39,200,success,14.422
combat,5,3,0,200,success,193.766
combat,5,3,1,200,success,175.442
combat,5,3,2,200,success,15.447
combat,5,3,3,200,success,15.040
combat,5,3,4,200,success,15.004
combat,5,3,5,200,success,14.749
combat,5,3,6,200,success,15.428
combat,5,3,7,200,success,15.549
combat,5,3,8,200,success,16.551
combat,5,3,9,200,success,14.512
combat,5,3,10,200,success,16.790
combat,5,3,11,200,success,14.482
combat,5,3,12,200,success,15.891
combat,5,3,13,200,success,15.722
combat,5,3,14,200,success,14.421
combat,5,3,15,200,success,18.071
combat,5,3,16,200,success,19.899
combat,5,3,17,200,success,35.338
combat,5,3,18,200,success,17.608
combat,5,3,19,200,success,14.774
combat,5,3,20,200,success,20.526
combat,5,3,21,200,success,21.223
combat,5,3,22,200,success,19.547
combat,5,3,23,200,success,18.073
combat,5,3,24,200,success,14.768
combat,5,3,25,200,success,17.265
combat,5,3,26,200,success,16.811
combat,5,3,27,200,success,16.546
combat,5,3,28,200,success,17.023
combat,5,3,29,200,success,18.570
combat,5,3,30,200,success,14.575
combat,5,3,31,200,success,14.257
combat,5,3,32,200,success,14.800
combat,5,3,33,200,success,17.914
combat,5,3,34,200,success,16.227
combat,5,3,35,200,success,18.273
combat,5,3,36,200,success,18.225
combat,5,3,37,200,success,31.734
combat,5,3,38,200,success,34.619
combat,5,3,39,200,success,17.920
